operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url,lat,lon
sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.5973214,-58.3959871",125000.0,USD,1895300.0,125000.0,58.0,,2155.172414,,,3.0,,http://puerto-madero.properati.com.ar/12pvb_venta_departamentos_puerto-madero_balcon_lavadero_subte-linea-d_subte-linea-h_mag-propiedades,-34.5973214,-58.3959871
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6116686,-58.4115275",130000.0,USD,1971112.0,130000.0,79.0,69.0,1645.56962,1884.057971,,3.0,1989.0,http://balvanera.properati.com.ar/118a0_venta_departamentos_balvanera_balcon_lavadero_luminoso_dependencias_korn-emprendimientos,-34.6116686,-58.4115275
sell,apartment,|Argentina|Capital Federal|Nuñez|,"-34.556252,-58.468616",179500.0,USD,2721650.8,179500.0,,77.0,,2331.168831,,3.0,,http://nunez.properati.com.ar/wzkz_venta_departamentos_colegiales,-34.556252,-58.468616
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5879217,-58.3980672",239000.0,USD,3623813.6,239000.0,89.0,86.0,2685.393258,2779.069767,,3.0,2700.0,http://barrio-norte.properati.com.ar/wh4q_venta_departamentos_barrio-norte,-34.5879217,-58.3980672
sell,apartment,|Argentina|Capital Federal|Centro / Microcentro|,"-34.6032728,-58.3961414",1868761.0,ARS,1863574.19,122907.6,42.0,35.0,2926.371429,53393.17143,2.0,1.0,,http://centro-microcentro.properati.com.ar/10q47_venta_departamentos_centro-microcentro_lavadero_parrilla_sum_terraza_auge-propiedades,-34.6032728,-58.3961414
sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.590196,-58.4491363",76000.0,USD,1152342.4,76000.0,35.0,30.0,2171.428571,2533.333333,,1.0,,http://chacarita.properati.com.ar/10ruj_venta_departamentos_chacarita_balcon_gimnasio_jardin_lavadero_parrilla_piscina_sum_luminoso_vista_estrenar_grupo-g-asociados_cgu,-34.590196,-58.4491363
sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.609443,-58.362868",319000.0,USD,4836805.6,319000.0,,62.0,,5145.16129,,2.0,,http://puerto-madero.properati.com.ar/12dt0_venta_departamentos_puerto-madero_manso-juana_1500_balcon_baulera_gimnasio_piscina_sum_vista_sauna_garage_amenities_re-max-puerto,-34.609443,-58.362868
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5546333,-58.4673952",265000.0,USD,4018036.0,265000.0,95.0,84.0,2789.473684,3154.761905,8.0,4.0,1900.0,http://belgrano.properati.com.ar/vum1_venta_departamentos_belgrano_moldes_3100,-34.5546333,-58.4673952
sell,apartment,|Argentina|Capital Federal|Flores|,"-34.6225112352,-58.4614970333",170000.0,USD,2577608.0,170000.0,,,,,,,,http://flores.properati.com.ar/u7rq_venta_departamentos_flores,-34.6225112352,-58.4614970333
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5594986,-58.4451978",125000.0,USD,1895300.0,125000.0,0.0,60.0,,2083.333333,,3.0,1600.0,http://belgrano.properati.com.ar/12q5i_venta_departamentos_belgrano_balcon_baulera_lujoso_garage_aire-acondicionado_asempro_dcw,-34.5594986,-58.4451978
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.573086,-58.432064",140000.0,USD,2122736.0,140000.0,,65.0,,2153.846154,5.0,2.0,,http://palermo.properati.com.ar/yjps_venta_departamentos_almagro_balcon_terraza_vestidor_re-max-ayres,-34.573086,-58.432064
sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5626326646,-58.4870649408",115000.0,USD,1743676.0,115000.0,57.0,47.0,2017.54386,2446.808511,4.0,,,http://villa-urquiza.properati.com.ar/sq0g_venta_departamentos_villa-urquiza_pedraza-manuela_4700,-34.5626326646,-58.4870649408
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5589976,-58.4444811",197000.0,USD,2986992.8,197000.0,77.0,73.0,2558.441558,2698.630137,6.0,4.0,2600.0,http://belgrano.properati.com.ar/zedq_venta_departamentos_belgrano_balcon_luminoso_vista_dependencias_alternativa-propiedades,-34.5589976,-58.4444811
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.5995704,-58.4040074",300000.0,USD,4548720.0,300000.0,160.0,160.0,1875.0,1875.0,,6.0,,http://balvanera.properati.com.ar/1047z_venta_departamentos_balvanera_the-union-propiedades_8tu,-34.5995704,-58.4040074
sell,apartment,|Argentina|Capital Federal|Floresta|,"-34.636481,-58.487153",150000.0,USD,2274360.0,150000.0,,65.0,,2307.692308,,3.0,,http://floresta.properati.com.ar/zv08_venta_departamentos_floresta_lavadero_terraza_luminoso_devoto,-34.636481,-58.487153
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6405283,-58.5294588",200000.0,USD,3032480.0,200000.0,70.0,60.0,2857.142857,3333.333333,,3.0,1000.0,http://villa-luro.properati.com.ar/y08v_venta_departamentos_villa-luro_baulera_garage_impecable_niro-brokers,-34.6405283,-58.5294588
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.5989832,-58.4203432",82500.0,USD,1250898.0,82500.0,38.0,38.0,2171.052632,2171.052632,6.0,2.0,1100.0,http://almagro.properati.com.ar/z38k_venta_departamentos_almagro_luminoso_mr-inmuebles_akd,-34.5989832,-58.4203432
sell,apartment,|Argentina|Capital Federal|Boedo|,"-34.6256,-58.413499",225000.0,USD,3411540.0,225000.0,,103.0,,2184.466019,2.0,4.0,,http://boedo.properati.com.ar/x2hr_venta_departamentos_balvanera,-34.6256,-58.413499
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5909249,-58.402559",69000.0,USD,1046205.6,69000.0,23.0,21.0,3000.0,3285.714286,,1.0,1572.0,http://barrio-norte.properati.com.ar/12g2u_venta_departamentos_barrio-norte_luminoso_amoblado_aire-acondicionado_subte-linea-d_subte-linea-h_adriana-streger-bienes-raices,-34.5909249,-58.402559
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.5962746,-58.4029852",285000.0,USD,4321284.0,285000.0,106.0,103.0,2688.679245,2766.990291,,4.0,3500.0,http://villa-crespo.properati.com.ar/ukjj_venta_departamentos_villa-crespo,-34.5962746,-58.4029852
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.6215068,-58.4464664",80000.0,USD,1212992.0,80000.0,41.0,34.0,1951.219512,2352.941176,,1.0,2000.0,http://caballito.properati.com.ar/10x0i_venta_departamentos_caballito_terraza_luminoso_placard_goldstein-propiedades-srl_9yp,-34.6215068,-58.4464664
sell,apartment,|Argentina|Capital Federal|Boca|,"-34.634126,-58.3632",58000.0,USD,879419.2,58000.0,36.0,36.0,1611.111111,1611.111111,,2.0,,http://boca.properati.com.ar/11hdo_venta_departamentos_boca_luminoso_placard_di-mitrio-inmobiliaria_90i,-34.634126,-58.3632
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.599711,-58.401065",249500.0,USD,3783018.8,249500.0,126.0,125.0,1980.15873,1996.0,,5.0,,http://barrio-norte.properati.com.ar/ylas_venta_departamentos_barrio-norte_luminoso_blejman-propiedades_bsl,-34.599711,-58.401065
sell,apartment,|Argentina|Capital Federal|Boedo|,"-34.627075,-58.42001",1261800.0,ARS,1258297.85,82988.04,45.0,35.0,1844.178667,36051.42857,,1.0,1.0,http://boedo.properati.com.ar/uuv4_venta_departamentos_boedo,-34.627075,-58.42001
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.615941,-58.439588",179000.0,USD,2714069.6,179000.0,64.0,61.0,2796.875,2934.42623,5.0,3.0,,http://caballito.properati.com.ar/uk2d_venta_departamentos_caballito_neuquen_600,-34.615941,-58.439588
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6405283,-58.5294588",145000.0,USD,2198548.0,145000.0,55.0,50.0,2636.363636,2900.0,,,,http://villa-luro.properati.com.ar/wkjq_venta_departamentos_villa-luro,-34.6405283,-58.5294588
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5922064,-58.4116581",285000.0,USD,4321284.0,285000.0,135.0,0.0,2111.111111,,,,3800.0,http://palermo.properati.com.ar/11zqf_venta_departamentos_palermo_balcon_lavadero_luminoso_dependencias_garage_doble-circulacion_rhr-real-estate_cwt,-34.5922064,-58.4116581
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5768387,-58.4291267",165000.0,USD,2501796.0,165000.0,54.0,40.0,3055.555556,4125.0,11.0,,,http://palermo.properati.com.ar/116yc_venta_departamentos_palermo_avenida-luis-maria-campos_0_balcon_baulera_hidromasaje_lavadero_parrilla_sum_terraza_luminoso_vista_lujoso_garage_amenities_estrenar_posse-propiedades-nordelta-carla-jimena-posse-csi-5482,-34.5768387,-58.4291267
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5827642,-58.4236582",193000.0,USD,2926343.2,193000.0,52.0,46.0,3711.538462,4195.652174,,2.0,,http://palermo.properati.com.ar/iqqw_venta_departamento_palermo,-34.5827642,-58.4236582
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6109152181,-58.4299869233",117500.0,USD,1781582.0,117500.0,,36.0,,3263.888889,6.0,2.0,,http://almagro.properati.com.ar/jvmi_venta_departamento_almagro_mitre-bartolome_4482,-34.6109152181,-58.4299869233
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.59043628,-58.388643473",193500.0,USD,2933924.4,193500.0,42.0,37.0,4607.142857,5229.72973,11.0,1.0,,http://recoleta.properati.com.ar/xo9y_venta_departamentos_recoleta_baulera_lavadero_terraza_luminoso_garage_estrenar,-34.59043628,-58.388643473
sell,apartment,|Argentina|Capital Federal|Boedo|,"-34.6254543,-58.4161104",112000.0,USD,1698188.8,112000.0,70.0,70.0,1600.0,1600.0,,,,http://boedo.properati.com.ar/t0ly_venta_departamentos_boedo,-34.6254543,-58.4161104
sell,apartment,|Argentina|Capital Federal|Barracas|,"-34.6321116,-58.3703982",1353000.0,ARS,1349244.66,88986.22,48.0,42.0,1853.879583,32214.28571,,1.0,,http://barracas.properati.com.ar/zsn0_venta_departamentos_barracas_balcon_piscina_amenities_placard_nucifora-propiedades_crr,-34.6321116,-58.3703982
